customerID,Churn,Snapshot_Date
7590-VHVEG,No,2024-06-01
5575-GNVDE,No,2024-06-01
3668-QPYBK,Yes,2024-06-01
7795-CFOCW,No,2024-06-01
9237-HQITU,Yes,2024-06-01
9305-CDSKC,Yes,2024-06-01
1452-KIOVK,No,2024-06-01
6713-OKOMC,No,2024-06-01
7892-POOKP,Yes,2024-06-01
6388-TABGU,No,2024-06-01
9763-GRSKD,No,2024-06-01
7469-LKBCI,No,2024-06-01
8091-TTVAX,No,2024-06-01
0280-XJGEX,Yes,2024-06-01
5129-JLPIS,No,2024-06-01
3655-SNQYZ,No,2024-06-01
8191-XWSZG,No,2024-06-01
9959-WOFKT,No,2024-06-01
4190-MFLUW,Yes,2024-06-01
4183-MYFRB,No,2024-06-01
8779-QRDMV,Yes,2024-06-01
1680-VDCWW,No,2024-06-01
1066-JKSGK,Yes,2024-06-01
3638-WEABW,No,2024-06-01
6322-HRPFA,No,2024-06-01
6865-JZNKO,No,2024-06-01
6467-CHFZW,Yes,2024-06-01
8665-UTDHZ,Yes,2024-06-01
5248-YGIJN,No,2024-06-01
8773-HHUOZ,Yes,2024-06-01
3841-NFECX,No,2024-06-01
4929-XIHVW,No,2024-06-01
6827-IEAUQ,No,2024-06-01
7310-EGVHZ,No,2024-06-01
3413-BMNZE,No,2024-06-01
6234-RAAPL,No,2024-06-01
6047-YHPVI,Yes,2024-06-01
6572-ADKRS,No,2024-06-01
5380-WJKOV,Yes,2024-06-01
8168-UQWWF,Yes,2024-06-01
8865-TNMNX,No,2024-06-01
9489-DEDVP,No,2024-06-01
9867-JCZSP,No,2024-06-01
4671-VJLCL,No,2024-06-01
4080-IIARD,No,2024-06-01
3714-NTNFO,No,2024-06-01
5948-UJZLF,No,2024-06-01
7760-OYPDY,Yes,2024-06-01
7639-LIAYI,No,2024-06-01
2954-PIBKO,No,2024-06-01
8012-SOUDQ,No,2024-06-01
9420-LOJKX,Yes,2024-06-01
6575-SUVOI,No,2024-06-01
7495-OOKFY,Yes,2024-06-01
4667-QONEA,No,2024-06-01
1658-BYGOY,Yes,2024-06-01
8769-KKTPH,No,2024-06-01
5067-XJQFU,No,2024-06-01
3957-SQXML,No,2024-06-01
5954-BDFSG,No,2024-06-01
0434-CSFON,No,2024-06-01
1215-FIGMP,No,2024-06-01
0526-SXDJP,No,2024-06-01
0557-ASKVU,No,2024-06-01
5698-BQJOH,Yes,2024-06-01
5122-CYFXA,No,2024-06-01
8627-ZYGSZ,No,2024-06-01
3410-YOQBQ,No,2024-06-01
3170-NMYVV,No,2024-06-01
7410-OIEDU,No,2024-06-01
2273-QCKXA,No,2024-06-01
0731-EBJQB,No,2024-06-01
1891-QRQSA,No,2024-06-01
8028-PNXHQ,No,2024-06-01
5630-AHZIL,No,2024-06-01
2673-CXQEU,No,2024-06-01
6416-JNVRK,No,2024-06-01
5590-ZSKRV,No,2024-06-01
0191-ZHSKZ,No,2024-06-01
3887-PBQAO,No,2024-06-01
5919-TMRGD,Yes,2024-06-01
8108-UXRQN,No,2024-06-01
9191-MYQKX,Yes,2024-06-01
9919-YLNNG,No,2024-06-01
0318-ZOPWS,No,2024-06-01
4445-ZJNMU,No,2024-06-01
4808-YNLEU,No,2024-06-01
1862-QRWPE,No,2024-06-01
2796-NNUFI,No,2024-06-01
3016-KSVCP,No,2024-06-01
4767-HZZHQ,No,2024-06-01
2424-WVHPL,No,2024-06-01
7233-PAHHL,No,2024-06-01
6067-NGCEU,No,2024-06-01
9848-JQJTX,No,2024-06-01
8637-XJIVR,Yes,2024-06-01
9803-FTJCG,No,2024-06-01
0278-YXOOG,Yes,2024-06-01
3212-KXOCR,No,2024-06-01
4598-XLKNJ,Yes,2024-06-01
6380-ARCEH,No,2024-06-01
3679-XASPY,No,2024-06-01
7123-WQUHX,No,2024-06-01
5386-THSLQ,No,2024-06-01
3192-NQECA,Yes,2024-06-01
6180-YBIQI,No,2024-06-01
6728-DKUCO,No,2024-06-01
9750-BOOHV,No,2024-06-01
8597-CWYHH,No,2024-06-01
2848-YXSMW,No,2024-06-01
0486-HECZI,Yes,2024-06-01
4549-ZDQYY,No,2024-06-01
5712-AHQNN,No,2024-06-01
4846-WHAFZ,Yes,2024-06-01
5256-SKJGO,No,2024-06-01
3071-VBYPO,No,2024-06-01
9560-BBZXK,No,2024-06-01
5299-RULOA,Yes,2024-06-01
8402-OOOHJ,No,2024-06-01
9445-ZUEQE,No,2024-06-01
1091-SOZGA,No,2024-06-01
2928-HLDBA,No,2024-06-01
0404-SWRVG,Yes,2024-06-01
6497-TILVL,No,2024-06-01
7219-TLZHO,No,2024-06-01
4622-YNKIJ,No,2024-06-01
4412-YLTKF,Yes,2024-06-01
6734-PSBAW,No,2024-06-01
3930-ZGWVE,No,2024-06-01
2639-UGMAZ,No,2024-06-01
2876-GZYZC,No,2024-06-01
6207-WIOLX,Yes,2024-06-01
8587-XYZSF,No,2024-06-01
3091-FYHKI,Yes,2024-06-01
2372-HWUHI,Yes,2024-06-01
7799-LGRDP,No,2024-06-01
7850-VWJUU,No,2024-06-01
3774-VBNXY,No,2024-06-01
6217-KDYWC,No,2024-06-01
0390-DCFDQ,Yes,2024-06-01
3146-MSEGF,No,2024-06-01
4080-OGPJL,Yes,2024-06-01
1095-WGNGG,No,2024-06-01
2636-SJDOU,No,2024-06-01
1131-QQZEB,No,2024-06-01
5716-EZXZN,No,2024-06-01
6837-BJYDQ,No,2024-06-01
2135-RXIHG,Yes,2024-06-01
6440-DKQGE,No,2024-06-01
3466-BYAVD,No,2024-06-01
3780-YVMFA,No,2024-06-01
3874-EQOEP,Yes,2024-06-01
1679-JRFBR,No,2024-06-01
9073-ZZIAY,No,2024-06-01
3077-RSNTJ,No,2024-06-01
6551-GNYDG,No,2024-06-01
9167-APMXZ,No,2024-06-01
2749-CTKAJ,No,2024-06-01
6371-NZYEG,No,2024-06-01
7554-NEWDD,No,2024-06-01
8992-VONJD,No,2024-06-01
0867-MKZVY,Yes,2024-06-01
4482-EWFMI,No,2024-06-01
4648-YPBTM,No,2024-06-01
2907-ILJBN,No,2024-06-01
6345-FZOQH,No,2024-06-01
3376-BMGFE,Yes,2024-06-01
5997-OPVFA,No,2024-06-01
3445-HXXGF,Yes,2024-06-01
1159-WFSGR,No,2024-06-01
7654-YWJUF,No,2024-06-01
1875-QIVME,Yes,2024-06-01
6727-IOTLZ,No,2024-06-01
0691-JVSYA,Yes,2024-06-01
5918-VUKWP,No,2024-06-01
1744-JHKYS,No,2024-06-01
2656-FMOKZ,Yes,2024-06-01
2070-FNEXE,Yes,2024-06-01
5947-SGKCL,No,2024-06-01
3712-PKXZA,No,2024-06-01
6317-YPKDH,Yes,2024-06-01
6582-OIVSP,No,2024-06-01
9367-WXLCH,Yes,2024-06-01
5524-KHNJP,No,2024-06-01
1918-ZBFQJ,Yes,2024-06-01
1024-GUALD,Yes,2024-06-01
4827-USJHP,No,2024-06-01
8167-GJLRN,No,2024-06-01
0956-SYCWG,No,2024-06-01
8017-UVSZU,No,2024-06-01
7100-FQPRV,No,2024-06-01
2472-OVKUP,Yes,2024-06-01
2984-RGEYA,No,2024-06-01
9680-NIAUV,No,2024-06-01
2146-EGVDT,No,2024-06-01
2604-IJPDU,No,2024-06-01
9178-JHUVJ,No,2024-06-01
6168-YBYNP,No,2024-06-01
7255-SSFBC,No,2024-06-01
3645-DEYGF,No,2024-06-01
9323-HGFWY,No,2024-06-01
8544-GOQSH,No,2024-06-01
3363-DTIVD,No,2024-06-01
7018-WBJNK,No,2024-06-01
9142-KZXOP,No,2024-06-01
7674-YTAFD,No,2024-06-01
6348-SNFUS,No,2024-06-01
1285-OKIPP,Yes,2024-06-01
7825-ECJRF,Yes,2024-06-01
1347-KTTTA,No,2024-06-01
7841-TZDMQ,Yes,2024-06-01
4195-NZGTA,No,2024-06-01
7157-SMCFK,No,2024-06-01
4709-LKHYG,No,2024-06-01
2504-DSHIH,No,2024-06-01
0699-NDKJM,No,2024-06-01
9286-BHDQG,No,2024-06-01
0230-WEQUW,No,2024-06-01
